trav001	ERR4554406	T1
trav001	ERR4554407	T1
trav001	ERR4554596	T5
trav001	ERR4557054	T1
trav001	ERR4557055	T1
trav001	ERR4557056	T1
trav001	ERR4557071	T5
trav001	ERR4557072	T5
trav001	ERR4557073	T5
trav001	ERR4557074	T5
trav002	ERR4554414	T1
trav002	ERR4554415	T1
trav002	ERR4554599	T5
trav007	ERR4554431	T1
trav007	ERR4554432	T1
trav007	ERR4554604	T5
trav010	ERR4554547	T1
trav010	ERR4555032	T5
trav011	ERR4557041	T1
trav011	ERR4557042	T1
trav011	ERR4555028	T5
trav017	ERR4554555	T1
trav017	ERR4557044	T5
trav018	ERR4554583	T1
trav026	ERR4554442	T1
trav026	ERR4554397	T1
trav026	ERR4554592	T5
trav026	ERR4557047	T1
trav026	ERR4557048	T1
trav026	ERR4557049	T1
trav026	ERR4557067	T5
trav026	ERR4557068	T5
trav026	ERR4557069	T5
trav026	ERR4557070	T5
trav030	ERR4554399	T1
trav030	ERR4554400	T1
trav030	ERR4554401	T1
trav030	ERR4554593	T5
trav030	ERR4554594	T5
trav030	ERR4554595	T5
trav032	ERR4554405	T1
trav032	ERR4554597	T5
trav032	ERR4557050	T1
trav032	ERR4557051	T1
trav032	ERR4557052	T1
trav032	ERR4557053	T1
trav032	ERR4557075	T5
trav032	ERR4557076	T5
trav032	ERR4557077	T5
trav032	ERR4557078	T5
trav033	ERR4554438	T1
trav033	ERR4554439	T1
trav033	ERR4554605	T5
trav040	ERR4554411	T1
trav040	ERR4554598	T5
trav042	ERR4554421	T1
trav042	ERR4554602	T5
trav042	ERR4557060	T1
trav042	ERR4557061	T1
trav042	ERR4557062	T1
trav042	ERR4557063	T1
trav042	ERR4557082	T5
trav042	ERR4557083	T5
trav042	ERR4557084	T5
trav042	ERR4557085	T5
trav044	ERR4554419	T1
trav044	ERR4554420	T1
trav044	ERR4554603	T5
trav046	ERR4554447	T1
trav046	ERR4555020	T5
trav046	ERR4555021	T5
trav047	ERR4554448	T1
trav047	ERR4555019	T5
trav047	ERR4555022	T5
trav051	ERR4554425	T1
trav051	ERR4554426	T1
trav051	ERR4555017	T5
trav052	ERR4554427	T1
trav052	ERR4555016	T5
trav064	ERR4554446	T1
trav064	ERR4555024	T5
trav067	ERR4554538	T1
trav067	ERR4554539	T1
trav067	ERR4555029	T5
trav067	ERR4555030	T5
trav067	ERR4557064	T1
trav067	ERR4557065	T1
trav067	ERR4557066	T1
trav067	ERR4557086	T5
trav067	ERR4557087	T5
trav067	ERR4557088	T5
trav068	ERR4554533	T1
trav068	ERR4555026	T5
trav076	ERR4554537	T1
trav076	ERR4555027	T5
trav079	ERR4554546	T1
trav079	ERR4555031	T5
trav081	ERR4554551	T1
trav081	ERR4554552	T1
trav081	ERR4554553	T1
trav081	ERR4557046	T5
trav086	ERR4554581	T1
trav086	ERR4554582	T1
trav086	ERR4557045	T5
trav092	ERR4554417	T1
trav092	ERR4554418	T1
trav092	ERR4554600	T5
trav092	ERR4554601	T5
trav092	ERR4557057	T1
trav092	ERR4557058	T1
trav092	ERR4557059	T1
trav092	ERR4557079	T5
trav092	ERR4557080	T5
trav092	ERR4557081	T5
trav093	ERR4554435	T1
trav093	ERR4554436	T1
trav093	ERR4554437	T1
trav093	ERR4555018	T5
trav095	ERR4554452	T1
trav095	ERR4555023	T5
trav098	ERR4554453	T1
trav098	ERR4554454	T1
trav098	ERR4555025	T5
